,temp
519,17.3
520,17.3
521,18.6
522,14.2
523,13.5
524,13.6
525,12.0
526,14.2
527,19.8
528,16.0
529,20.0
530,21.3
531,18.6
532,19.2
533,19.2
534,15.2
535,16.1
536,18.6
537,20.7
538,22.0
539,18.9
540,14.5
541,15.4
542,13.6
543,14.9
544,13.3
545,13.6
546,17.8
547,18.6
548,17.8
549,13.3
550,12.4
551,15.5
552,20.2
553,22.4
554,20.3
555,22.1
556,26.4
557,21.2
558,22.0
559,20.2
560,18.5
561,15.2
562,17.2
563,17.0
564,14.9
565,16.6
566,15.3
567,15.6
568,18.9
569,17.2
570,16.4
571,16.8
572,18.2
573,20.9
574,20.2
575,19.3
576,19.8
577,23.7
578,22.4
579,20.8
580,20.4
581,20.2
582,19.9
583,20.3
584,19.6
585,17.3
586,16.7
587,16.0
588,19.8
589,16.9
590,14.3
591,16.1
592,15.2
593,14.4
594,16.8
595,18.8
596,18.8
597,19.2
598,16.4
599,15.8
600,18.1
601,18.8
602,21.4
603,18.7
604,18.6
605,24.0
606,24.9
607,19.8
608,14.5
609,14.4
610,15.5
611,16.7
612,19.4
613,22.9
614,21.5
615,18.8
616,16.3
617,16.0
618,17.7
619,22.8
620,24.8
621,15.0
622,15.2
623,15.1
624,12.0
625,11.4
626,10.3
627,10.7
628,9.0
629,11.3
630,12.2
631,11.7
632,12.4
633,15.6
634,15.1
635,13.2
636,13.8
637,14.5
638,13.3
639,11.0
640,10.7
641,10.4
642,10.1
643,6.8
644,5.4
645,5.4
646,6.0
647,7.4
648,8.2
649,8.4
650,7.7
651,8.8
652,7.4
653,6.4
654,7.2
655,6.0
656,7.8
657,4.5
658,9.3
659,10.0
660,7.2
661,7.1
662,8.8
663,7.0
664,6.0
665,5.1
666,5.8
667,7.7
668,9.6
669,8.3
670,7.3
671,5.4
672,5.6
673,4.4
674,6.2
675,5.8
676,7.6
677,9.7
678,8.3
679,8.7
680,8.0
681,7.2
682,5.8
683,4.8
684,8.6
685,8.2
686,7.6
687,7.8
688,6.7
689,8.9
690,6.8
691,5.1
692,8.5
693,7.4
694,3.2
695,6.0
696,5.5
697,4.8
698,9.2
699,6.8
700,3.7
701,2.8
702,6.7
703,9.4
704,6.4
705,3.8
706,3.8
707,5.8
708,3.0
709,0.4
710,1.0
711,2.2
712,-1.5
713,1.8
714,5.5
715,3.7
716,5.0
717,4.8
718,2.5
719,4.4
720,4.0
721,1.4
722,2.3
723,4.4
724,4.8
725,2.6
726,2.5
727,0.2
728,1.9
729,2.7
730,0.8
731,4.4
732,1.6
733,1.6
734,0.5
735,-0.3
736,4.2
737,4.5
738,2.9
739,1.2
740,3.5
741,1.1
742,-0.7
743,2.6
744,5.4
745,3.1
746,2.6
747,1.1
748,-0.3
749,-0.2
750,0.8
751,-3.5
752,-3.6
753,-2.2
754,-2.4
755,-4.5
756,-2.8
757,-1.1
758,-1.9
759,1.2
760,0.3
761,1.5
762,0.6
763,0.7
764,0.3
765,0.0
766,-0.1
767,2.8
768,1.4
769,-0.7
770,-0.4
771,-0.9
772,-3.8
773,-3.2
774,-2.4
775,-4.4
776,-4.5
777,-1.2
778,-1.8
779,0.1
780,1.7
781,4.7
782,5.5
783,5.1
784,5.8
785,6.1
786,2.4
787,3.6
788,2.5
789,1.7
790,1.0
791,2.7
792,8.7
793,2.3
794,-1.2
795,-2.6
796,-5.0
797,-2.2
798,2.5
799,3.0
800,2.8
801,3.2
802,0.4
803,-1.2
804,0.6
805,4.2
806,4.8
807,2.6
808,0.4
809,1.1
810,1.2
811,-0.4
812,1.5
813,5.3
814,4.2
815,-0.4
816,-2.0
817,-0.4
818,-1.6
819,-1.8
820,2.2
821,-1.0
822,0.3
823,2.6
824,5.8
825,6.3
826,7.1
827,11.0
828,11.8
829,12.8
830,11.1
831,15.2
832,17.3
833,17.3
834,16.8
835,17.0
836,15.8
837,12.0
838,14.8
839,15.4
840,15.6
841,14.4
842,13.8
843,13.5
844,11.6
845,11.6
846,9.0
847,9.2
848,9.2
849,10.6
850,16.1
851,15.6
852,11.7
853,13.7
854,17.6
855,14.3
856,16.4
857,15.5
858,14.8
859,15.6
860,14.1
861,15.6
862,12.4
863,11.2
864,11.5
865,12.8
866,9.7
867,9.2
868,12.1
869,7.4
870,6.1
871,9.1
872,12.2
873,13.5
874,12.8
875,11.1
876,11.5
877,10.6
878,11.0
